,clust,Balance,Qual_miles,cc1_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award
0,1,28143,0,1,174,1,0,0,7000,0
1,1,19244,0,1,215,2,0,0,6968,0
2,1,41354,0,1,4123,4,0,0,7034,0
3,1,14776,0,1,500,1,0,0,6952,0
4,2,97752,0,4,43300,26,2077,4,6935,1
5,1,16420,0,1,0,0,0,0,6942,0
6,3,84914,0,3,27482,25,0,0,6994,0
7,8,20856,0,1,5250,4,250,1,6938,1
8,2,443003,0,3,1753,43,3850,12,6948,1
9,2,104860,0,3,28426,28,1150,3,6931,1
10,1,40091,0,2,7278,10,0,0,6959,0
11,2,96522,0,5,61105,19,0,0,6924,1
12,1,43382,0,2,11150,20,0,0,6924,0
13,1,43097,0,1,3258,6,0,0,6918,0
14,1,17648,0,1,0,0,0,0,6912,0
15,2,28495,0,4,49442,15,0,0,6912,1
16,2,51890,0,4,48963,16,0,0,6910,1
17,8,13958,0,1,4291,5,0,0,6905,1
18,2,91473,0,3,27408,17,0,0,6903,1
19,2,23354,0,3,10447,5,0,0,6896,1
20,2,120576,0,5,58831,23,250,2,6896,1
21,8,185681,2024,1,13300,16,1800,9,6896,1
22,1,20584,0,1,3450,11,3450,11,6884,0
23,1,66275,0,1,2533,11,150,1,6884,0
24,1,205651,500,1,4025,21,700,4,7932,0
25,1,20726,0,1,1375,4,0,0,7924,0
26,1,18521,0,1,1227,2,1227,2,7917,0
27,1,8828,0,1,0,0,0,0,7914,0
28,2,59763,0,3,33772,20,100,1,7907,1
29,8,19221,0,1,4655,8,500,1,7896,1
30,3,177926,0,3,20797,13,0,0,7886,0
31,1,10021,0,1,0,0,0,0,7879,0
32,3,276571,0,4,42044,23,0,0,7872,0
33,1,18047,0,1,100,1,0,0,7868,0
34,1,43832,0,1,0,0,0,0,7865,0
35,2,123759,0,4,50572,23,2500,5,7865,1
36,8,23193,0,1,650,4,550,3,7861,1
37,1,68666,0,1,350,2,350,2,7861,0
38,2,59990,0,3,27878,17,0,0,7854,1
39,8,2176,0,1,0,0,0,0,7847,1
40,1,34616,0,1,1750,4,500,1,7850,0
41,2,10470,0,4,38094,26,0,0,7840,1
42,8,60313,0,1,10000,26,3250,9,7829,1
